timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1645017094566,3250,MyHomePage,200,OK,UsersLifeCharger 1-2,text,false,"The operation lasted too long: It took 3,250 milliseconds, but should not have lasted longer than 1,700 milliseconds.",37028,131,5,5,https://lifecharger.org/2-minute-rule/,3072,0,353
1645017094363,3465,MyHomePage,200,OK,UsersLifeCharger 1-1,text,false,"The operation lasted too long: It took 3,465 milliseconds, but should not have lasted longer than 1,700 milliseconds.",37028,131,5,5,https://lifecharger.org/2-minute-rule/,3292,0,376
1645017095167,2682,MyHomePage,200,OK,UsersLifeCharger 1-5,text,false,"The operation lasted too long: It took 2,682 milliseconds, but should not have lasted longer than 1,700 milliseconds.",37028,131,5,5,https://lifecharger.org/2-minute-rule/,2464,0,382
1645017094765,3394,MyHomePage,200,OK,UsersLifeCharger 1-3,text,false,"The operation lasted too long: It took 3,394 milliseconds, but should not have lasted longer than 1,700 milliseconds.",37028,131,5,5,https://lifecharger.org/2-minute-rule/,3217,0,401
1645017094979,3179,MyHomePage,200,OK,UsersLifeCharger 1-4,text,false,"The operation lasted too long: It took 3,179 milliseconds, but should not have lasted longer than 1,700 milliseconds.",37043,131,5,5,https://lifecharger.org/2-minute-rule/,3001,0,370
1645017097824,1691,MyHomePage,200,OK,UsersLifeCharger 1-2,text,false,can't parse argument number: ,37028,131,5,5,https://lifecharger.org/2-minute-rule/,1679,0,0
1645017097853,2439,MyHomePage,200,OK,UsersLifeCharger 1-5,text,false,"The operation lasted too long: It took 2,439 milliseconds, but should not have lasted longer than 1,700 milliseconds.",37028,131,5,5,https://lifecharger.org/2-minute-rule/,2374,0,0
1645017097835,2618,MyHomePage,200,OK,UsersLifeCharger 1-1,text,false,"The operation lasted too long: It took 2,618 milliseconds, but should not have lasted longer than 1,700 milliseconds.",37028,131,5,5,https://lifecharger.org/2-minute-rule/,2567,0,0
1645017098171,2403,MyHomePage,200,OK,UsersLifeCharger 1-4,text,false,"The operation lasted too long: It took 2,403 milliseconds, but should not have lasted longer than 1,700 milliseconds.",37028,131,5,5,https://lifecharger.org/2-minute-rule/,2402,0,0
1645017098171,2623,MyHomePage,200,OK,UsersLifeCharger 1-3,text,false,"The operation lasted too long: It took 2,623 milliseconds, but should not have lasted longer than 1,700 milliseconds.",37028,131,5,5,https://lifecharger.org/2-minute-rule/,2602,0,0
